Question,Answer
where is jakarta located,northwest coast of java
where is jakarta located,on the northwest coast of java
who created monas park,general herman willem deandels
who created monas park,dutch governor general herman willem deandels
what contributes to frequent flooding in jakarta,"jakarta lies on a plain eight meters, approximately eight meters above the sea level"
what contributes to frequent flooding in jakarta,"it lies on a plain, approximately eight meters above the sea level"
"in ad 39, king purnawarman established sunda pura as a new capital city for the kingdom, located at the northern coast of where?",java
"in 1602, the british east india companys first voyage, commanded by sir who, arrived in aceh and sailed on to banten where they were allowed to build a trading post?",james lancaster
who began control of migration to the city in order to stem the overcrowding and poverty?,lieutenant general ali sadikin began control of migration to the city in order to stem the overcrowding and poverty
did jayawikartas soldiers attack the dutch fortress?,yes
did suharto resign as president?,yes
was the jakarta area part of the fourth century indianized kingdom of tarumanagara?,yes
do other landmarks include the istiqlal mosque as well as jakarta cathedral?,yes
give an example of the many sukarno era monuments in the city ,the west irian liberation statue is one of the many sukarno era monuments in the city 
"is jakarta the countrys economic, cultural and political center?",yes
is james watt french?,"no, he was scottish"
is james watt french?,no
did james watt improve an engine?,"yes, his improvements to the newcomen steam engine were fundamental to the changes brought by the industrial revolution"
did james watt improve an engine?,yes
is there a statue of watt in the white house?,"no, a colossal statue of watt by chantrey was placed in westminster abbey, and later was moved to st pauls cathedral"
is there a statue of watt in the white house?,no
when did watt retire?,in 1800
when did watt retire?,watt retired in 1800
where is the james watt memorial college?,in greenock
where is the james watt memorial college?,the james watt memorial  is in greenock
why is the watt named after watt?,the watt is named after him for his contributions to the development of the steam engine
why is the watt named after watt?,the watt is named after james watt for his contributions to the development of the steam engine
where did watt attend university?,watt did not attend school regularly
where did watt attend university?,he did not attend a university
what happened in the early 20th century?,the koalas of south australia were largely exterminated
do koalas have a slow metabolism?,yes
did eucalypt forests grow in the place of rainforests?,"yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests"
does the koala fill the same ecological role as the sloth of south america?,the koala fills the same ecological role as the sloth of south america
is the long term viability of the koala therefore threatened by genetic weakness?,the long term viability of the koala is therefore threatened by genetic weakness
"is the koala found in coastal regions of eastern and southern australia, from near adelaide to the southern part of cape york peninsula?",yes
do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands
"were the koalas of south australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with victorian stock?","the koalas of south australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with victorian stock"
about how many koreans speakers are there?,78 million
about how many koreans speakers are there?,78 million korean speakers
where do the majority of loanwords other than sino-korean come from?,modern times
where do the majority of loanwords other than sino-korean come from?,"modern times, 90% of which are from english"
how many korean speakers are there?,there are about 78 million korean speakers
how many parts of speech does the korean language contain?,the korean language contains nine parts of speech 
how many verb paradigms are there in korean?,there are seven verb paradigms or speech levels in korean
what is the sino-korean system of numbers based on?,the sino-korean system is nearly entirely based on the chinese numerals
what is another term for korean adjectives?,"adjectives are also known as ""descriptive verbs"" or ""stative verbs"""
is modern korean written in columns or rows?,it is written in rows
what percentage of the korean language does jeong jae-do estimate to be sino-korean?,sino-korean makes up 30% of the korean language
do chinese and japanese have spaces between words?,"no, chinese and japanese do not have spaces between words"
from which languages is korean descended?,"korean is descended from old korean, middle korean and modern korean"
are there seven verb paradigms or speech levels in korean?,yes
is modern korean written with spaces between words?,yes
are the korean names for the language based on the names for korea used in north as well as south korea?,yes
is it not also one of the two official languages of the yanbian korean autonomous prefecture in china?,yes
is the dialect spoken in jeju located in fact classified as a different language by all korean linguists?,the dialect spoken in jeju is in fact classified as a different language by some korean linguists
is it also one of the two official languages in the yanbian korean autonomous prefecture in china?,yes
is kuala lumpur the capitol of malaysia? disfluent,yes
is kuala lumpur in the selangor state?,yes
whats the population of kuala lumpur?,16 million
what language do they speak in kuala lumpur?,bahasa melayu
"what does the name ""kuala lumpur"" mean?","muddy confluence, ""muddy estuary,"" and ""muddy city"""
what airports does kuala lumpur have?,kuala lumpur international airport and subang international airport
how long was kuala lumpur occupied by the japanese?,42 months
how many seasons does kuala lumpur experience?,1
when were the colonial buildings in kuala lumpur constructed?,toward the end of the 19th and early 20th centuries
is it a host city for the formula one world championship?,yes
is the central market located in the proximity of the pertama complex?,no
is it home to the parliament of malaysia?,yes
when did kuala lumpur become a federal territory of malaysia?,"february 1, 1974"
what is the citys population?,16 million
what is the official religion in the country?,islam
is there a more industrialized region in malaysia?,no
"after the 2008 elections, what party had the most parliament seats?",dap
what is the name of the event that draws the worlds top riders to malaysia?,kl grand prix csi 5*
wasnt leonardo da vinci valued as an engineer?,no
wasnt leonardo da vinci born on april 15?,"yes, leonardo da vinci was born on april 15"
who left verroccios studio?,leonardo da vinci left verroccios studio
"when did baldassare castiglione, author of il cortegiano ( "" the courtier "" ), write?",1528
when did he flee to venice?,in 1499
was leonardo a contemporary of botticelli domenico ghirlandaio as well as perugino?,"leonardo was a contemporary of botticelli, domenico ghirlandaio and perugino"
is the larger work now almost universally attributed to leonardo?,"although previously attributed to ghirlandaio, the larger work is now almost universally attributed to leonardo"
"has leonardo often been described as the archetype of the renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",yes
is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,yes
"according to art historian helen gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote?",yes
what is the caridoid escape reaction?,swimming backwards quickly by curling and uncurling their abdomen
what is the caridoid escape reaction?,when lobsters swim backwards quickly by curling and uncurling their abdomen
were the recitations of the ancient greeks accompanied by lyre playing?,yes
does a classical lyre have a hollow body?,yes
is the lyre a stringed musical instrument?,yes
which constellation is said to resemble a lyre shape?,lyra
how many raised arms are extending from the sound-chest of a classical lyre?,two
what were the strings of a classical lyre made of?,gut
is the foot pedal framework for a piano called a lyre?,yes
where was the deepest note of the classical lyre in relation to the players body?,it was farthest from the players body
does a standard piano have fewer strings than a harp?,no
is malay the official language of iraq?,no
could malay have originated from sumatra island?,yes
what family is malay a member of?,austronesian family
what family is malay a member of?,austronesian
what is the basic word order in malay?,subject object verb
what languages has malay borrowed words from?,"sanskrit, arabic and english"
what languages has malay borrowed words from?,"arabic, sanskrit, tamil, persian, portuguese, dutch, certain chinese dialects, and english"
are there many words in malay that use natural gender?,no
how are new words formed in malay?,three methods
how are new words formed in malay?,"affixation, composition, and reduplication"
is malay in the austronesian family of languages?,yes
is there one negation word in malay?,no
how many parts of speech are there in malay?,four
what is the national language in malaysia?,malay 
do linguists consider malay to be a single language?,no
can speakers of modern malay understand old malay?,no
what language besides malay is in the austronesia language family?,malagasy
wasnt malay language found in sumatra?,the malay language was found in sumatra
wasnt malay language written using pallava?,yes
was malay language written using pallava?,yes
had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes
do another distinguishing feature of malay ( include indonesian malay )?,another distinguishing feature of malay (include indonesian malay) is its use of measure words (penjodoh bilangan)
is malay spoken as local dialect of ethnic malays?,yes
give an example of the tributary states of the majapahit kingdom in eastern java ,malayu is an example of the tributary states of the majapahit kingdom in eastern java
is malay the one of the most widely spoken languages in the world?,yes
was it derived from latin?,yes
what is a resident of melbourne known as?,melburnian
what is a resident of melbourne known as?,"a ""melburnian"""
when was melbourne officially declared as a city?,1847
when was melbourne officially declared as a city?,in 1847
where is melbourne situated?,boundary of the very hot inland areas and the cold southern ocean
how many domestic tourists visit melbourne?,76 million domestic visitors
how many domestic tourists visit melbourne?,76 million
what religion holds majority in melbourne?,christian
what religion holds majority in melbourne?,christianity
did albert einstein keep a photograph of faraday on his study wall?,"yes, albert einstein kept a photograph of faraday on his study wall"
did albert einstein keep a photograph of faraday on his study wall?,yes
did faraday marry sarah barnard?,"yes, faraday married sarah barnard"
did faraday marry sarah barnard?,yes
did faraday also discover the laws of electrolysis?,"yes, faraday also discovered the laws of  electrolysis"
did faraday also discover the laws of electrolysis?,yes
who discovered benzene?,michael faraday discovered benzene
who discovered benzene?,michael faraday
where was michael faraday born?,michael faraday was born in newington butts
where was michael faraday born?,newington butts
what is the faraday effect?,the faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving
what is the faraday effect?,the plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving
did faraday discover diamagnetism?,"yes, faraday discovered diamagnetism"
did faraday discover diamagnetism?,yes
how many siblings did faraday have?,faraday had three siblings
how many siblings did faraday have?,two
where is michael faraday buried?,michael faraday is buried in the dissenters section of highgate cemetery
where is michael faraday buried?,in the dissenters section of highgate cemetery
is faraday best known for his work with kinematics?,no
was he active in the area now called environmental science?,yes
did he discover benzene?,yes
who was his mentor?,john mad jack fuller
who was faradays wife?,sarah barnard
did he advise the british government on the production of chemical weapons for use in the crimean war?,no
did faraday have strong maritime interests?,yes
does the charge reside on the interior of a charged conductor?,no
wasnt michelangelo abstemious?,michelangelo was abstemious
wasnt michelangelo a homosexual?,it is not clear
when did filippo strozzi sell it to francis i?,in 1529
when was his house demolished?,1874
was michelangelos mother francesca di neri del miniato di siena?,yes
give an example of the most renowned works of the renaissance ,"the statue of david, completed by michelangelo in 1504"
was michelangelos output in every field during his long life prodigious?,yes
is english the language most often spoken in montreal?,the language most spoken at home in the city is french
is english the language most often spoken in montreal?,"no, the language most spoken in montreal is french"
what is the name of the largest church in montreal?,the largest church in montreal is named saint josephs oratory
what is the name of the largest church in montreal?,saint josephs oratory is the largest church in montreal
where was much of montreals industry during the late 19th and early-to-mid 20th century?,the sud-ouest borough was home to much of the citys industry during the late 19th and early-to-mid 20th century 
where was much of montreals industry during the late 19th and early-to-mid 20th century?,the sud-ouest borough was home to much of the citys industry during the late 19th and early-to-mid 20th century
does montreal contain the largest church in canada?,yes
does montreal contain the largest church in canada?,"yes, montreal contains the largest church in canada"
what is the largest primarily french-speaking city in the western world?,paris is the largest primarily french-speaking city in the western world
what is the largest primarily french-speaking city in the western world?,the largest primarily french-speaking city in the western world is paris
is nairobi the capital of kenya?,yes
was nairobi founded in 1899?,yes
is the current estimated population of nairobi about 6 milion?,no
what is the current estimated population of nairobi?,about 3 million
in what year was nairobi founded?,1899
which embassy in nairobi was bombed in august 1998?,the united states embassy
how many civilians died in the 1998 us embassy bombing?,over two hundred
how many trades can the nse make per day?,10 million trades
about how many people are estimated to live in nairobi?,3 million
the district is bordered to the southwest by uhuru park and where?,central park
when did the catholic university of eastern africa which obtain its letter of interim authority?,in 1989
is central park adjacent to uhuru park?,central park is adjacent to uhuru park
give an example of the highest growth rates of any city in africa ," the growth rate of nairobi is currently 69%,  an example of the highest growth rates of any city in africa"
give an example of the most prominent cities in africa politically and financially ,nairobi is now one of the most prominent cities in africa politically and financially
is nairobi not the capital as well as largest city of kenya?,nairobi is the capital and largest city of kenya
does the city and its surrounding area also form the nairobi province?,yes
"does the name ``nairobi come from the maasai phrase enkare nyirobi, which translates to ``the place of cool waters?",yes
did nikola tesla die alone?,nikola tesla died alone
did nikola tesla die alone?,yes
was nikola tesla close friends with mark twain?,nikola tesla was close friends with mark twain
was nikola tesla close friends with mark twain?,yes
did nikola tesla use a technique called picture thinking?,nikola tesla used a technique called picture thinking
did nikola tesla use a technique called picture thinking?,yes
when did nikola tesla appear on the cover of time magazine?,"on teslas 75th birthday in 1931, time magazine put him on its cover"
when did nikola tesla appear on the cover of time magazine?,1931
who became adversaries with nikola tesla?,nikola tesla became adversaries with edison
who became adversaries with nikola tesla?,edison
where did nikola tesla move to in 1880?,"in 1880, nikola tesla moved to budapest"
where did nikola tesla move to in 1880?,budapest
was nikola teslas mother illiterate?,nikola teslas mother never learned to read
was nikola teslas mother illiterate?,yes
how many siblings did nikola tesla have?,nikola tesla had four siblings
how many siblings did nikola tesla have?,4
was nikola tesla a vegetarian?, in his later years tesla became a vegetarian
was nikola tesla a vegetarian?,yes
"is there a monument to tesla at niagara falls, new york?",yes
was tesla an american citizen?,yes
was tesla on the cover of time magazine?,yes
where did tesla study electrical engineering?,the austrian polytechnic in graz
when did tesla receive his last patent?,1928
what languages did tesla speak?,"serbian, czech, english, french, german, hungarian, italian, and latin"
did tesla win the nobel prize?,no
was tesla rich at the time of his death?,no
what music group was named after tesla?,tesla
"consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch?",rockwell 
who spent the next 10 years painting for look magazine?,norman rockwell
when was his last painting for the post published?,1963
"when did rockwell marry his first wife, irene oconnor,?",in 1916
did norman rockwell spend the winter months as artist-in-residence at otis college of art as well as design?,yes
did norman rockwell publish a total of 321 original covers for the saturday evening post over 47 years?,yes
was rockwell also commissioned to illustrate over 40 books including tom sawyer as well as huckleberry finn?,rockwell was also commissioned to illustrate over 40 books including tom sawyer and huckleberry finn 
"do his works enjoy a broad popular appeal in the united states, where rockwell is most famous for the cover illustrations of everyday life scenarios he created for the saturday evening post magazine over more than four decades?",yes
"are among the best-known of rockwells works the willie gillis series, rosie the riveter (although his rosie was reproduced less than others of the day), saying grace (1951), and the four freedoms series?",yes
is he also noted for his work for the boy scouts of america (bsa)?,yes
where is the mouth of an octopus?,the mouth of an octopus is at the center point of the arms
where is the mouth of an octopus?,the octopus mouth is at the center point of the arms
how many arms does an octopus have?,an octopus has four pairs of arms
how many arms does an octopus have?,the octopus has four pairs of arms
what is the range of lifespans of the octopus?,octopuses can live from six months to five years
what is the range of lifespans of the octopus?,the octopus has a short lifespan
what is an example of something an octopus learned in a research experiment?,"in research experiments, octopus can be trained to distinguish between different shapes and patterns"
what is an example of something an octopus learned in a research experiment?,an octopus learned to solve mazes
how can an octopus defend against predators?,"to defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage"
how can an octopus defend against predators?,"they can hide, flee, expel ink, or use camouflage"
are octopus highly intelligent?,yes
do males use a specialized arm called a hectocotylus to insert spermatophores?,yes
do the octopuses in the less familiar cirrina suborder have two fins and an internal shell?,"yes, the octopuses in the less familiar cirrina suborder have two fins and an internal shell"
do octopuses have two eyes and four pairs of arms?,"yes, octopuses have two eyes and four pairs of arms"
is octopus a common food in mediterranean cuisine as well as portuguese cuisine?,yes
is the collective form octopus usually reserved for animals consumed for food?,yes
"has an octopus a hard beak, with its mouth at the center point of the arms?",yes
what happened in 1968 through 1971?,"devoting his full energies to his work, picasso became more daring, his works more colorful and expressive, and from 1968 through 1971"
what happened in 1838?,don jos� ruiz y blasco was born
"who was not long in finding another lover, jacqueline roque?",picasso
when did picasso make his first trip to paris?,1900
give an example of the most comprehensive records extant of any major artists beginnings ,museu picasso
is in the 1996 movie surviving picasso picasso played by actor anthony hopkins?,yes
is the us copyright representative for the picasso administration the artists rights society?,yes
is he one of the most recognized figures in 20th-century art?,yes
is he best known for co-founding the cubist movement and for the wide variety of styles embodied in his work?,yes
"are among his most famous works the proto-cubist les demoiselles davignon (1907) and guernica (1937), his portrayal of the german bombing of guernica during the spanish civil war?",yes
what is the middle pedal called on grand pianos?,the sostenuto pedal
what is the middle pedal called on grand pianos?,sostenuto pedal
what is the sustain pedal called?,the pedal
what is the sustain pedal called?,damper pedal
what kind of piano did irving berlin play?,the transposing piano
what kind of piano did irving berlin play?,transposing piano
is the left-most pedal on a grand piano called the una corda?,yes
is the left-most pedal on a grand piano called the una corda?,"yes, the left-most pedal on a grand piano is called the una corda"
is it advantageous for a grand pianos metal plate to be quite massive?,yes
is it advantageous for a grand pianos metal plate to be quite massive?,it is advantageous for the plate to be quite massive
is the mechanism in an upright piano perpendicular to its keys?,yes
is the mechanism in an upright piano perpendicular to its keys?,the mechanism in upright pianos is perpendicular to the keys
how many total keys does a typical modern piano have?,88 keys
how many total keys does a typical modern piano have?,a modern piano has 88 keys
do older pianos have more keys than modern pianos?,no
do older pianos have more keys than modern pianos?,many older pianos only have 85 keys
what are the names of a pianos pedals?,"piano pedals from left to right: una corda, sostenuto, and damper"
what are the names of a pianos pedals?,"the names of a pianos pedals are una corda, sostenuto, and damper"
"what happened in the january 15, 1882?","on january 15, 1882 renoir met the composer richard wagner at his home in palermo, sicily"
what happened in 1887?,"in 1887, a year when queen victoria celebrated her golden jubilee, and upon the request of the queens associate, phillip richbourg, he donated several paintings to the ""french impressionist paintings"" catalog as a token of his loyalty"
is one of the best known impressionist works renoirs 1876 dance at le moulin de la galette?,yes
was pierre-auguste renoir born in limoges haute-vienne france the child of a working class family?,yes
have two of renoirs paintings sold for more than us0 million?,yes (any painting sells for more than $0 million though)
"as a celebrator of beauty, and especially feminine sensuality, has it been said that ``renoir is the final representative of a tradition which runs directly from rubens to watteau?",yes
"did pierre-auguste renoir die in limoges, haute-vienne, france, the child of a working class family?",no
"as a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes
is portuguese an official language of andorra?,no
is portuguese an official language of andorra?,"no, portuguese is not an official language of andorra"
does the portuguese language have its roots in the latin language?,yes
does the portuguese language have its roots in the latin language?,"yes, portuguese is derived from latin"
does portuguese contain words from the arabic language?,yes
does portuguese contain words from the arabic language?,"yes, portuguese contains words from the arabic language"
where are there small portuguese-speaking communities?,former overseas colonies of portugal such as macau and east timor 
where are there small portuguese-speaking communities?,there are small portuguese-speaking communities in macau and east timor
what are the two main groups of portuguese dialects?,those of brazil and those of the old world
what are the two main groups of portuguese dialects?,the two main groups of dialects are brazil and the old world
what event marked the end of the old portuguese period?,the publication of the cancioneiro geral by garcia de resende in 1516
what event marked the end of the old portuguese period?,the end of the old portuguese period was marked by the publication of the cancioneiro geral by garcia de resende
which government established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp?,equatorial guinea
which government established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp?,the government of equatorial guinea established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp
"by 2050, what will the total population of portuguese speakers in the world be?",335 million people
"by 2050, what will the total population of portuguese speakers in the world be?","by 2050, portuguese-speaking countries will have a total population of 335 million people"
in which country is portuguese the co-official language with cantonese chinese?,macau
in which country is portuguese the co-official language with cantonese chinese?,portuguese is the co-official language with cantonese chinese in macau
wasnt portuguese language spread by arriving roman soldiers?,yes
"(where french has a similar phenomenon, with alveolar affricates instead of postalveolars?",quebec
"give an example of the official languages of the special administrative region of macau and east timor,  ",portuguese
is portuguese an official language of several international organizations?,yes
"is it derived from the latin spoken by the romanized pre-roman peoples of the iberian peninsula (namely the gallaeci, the lusitanians, the celtici and the conii) around 2000 years ago?",yes
was it used as the exclusive lingua franca on the island of sri lanka for almost 350 years?,yes
what were some other names of the city?,"petrograd, leningrad, and piter"
what were some other names of the city?,petrograd and leningrad
what festival features fireworks  celebrating the end of the school year?,the white nights festival in saint petersburg
what festival features fireworks  celebrating the end of the school year?,the white nights festival
when did the crime level become higher?,after the october revolution
how to travel to work from the city to moscow?,railway
how to travel to work from the city to moscow?,one way is through the moscow-saint petersburg railway
who laid down the peter and paul fortress?,peter the great 
when was the 7th symphony premiered?,1942
"has equestrianism been a long tradition, popular among the tsars and aristocracy?",yes
"give an example of the largest stadiums anywhere in the world, and the home to fc zenit st petersburg in 1950-1993 and 1995 ","kirov stadium (now demolished) was one of the largest stadiums anywhere in the world, and the home to fc zenit st petersburg in 1950-1993 and 1995"
give an example of the best known symphony orchestras in the world under the leadership of conductors yevgeny mravinsky and yuri temirkanov ,the leningrad philharmonic orchestra
"give an example of the longest, most destructive, and most lethal sieges of major cities in modern history ",the siege of leningrad
"were the citys other names petrograd (, 1914 -- 1924) and leningrad (, 1924 -- 1991)?",yes
is it often called just petersburg (-rrb- and is informally known as piter (-rrb-?,yes
"founded by tsar peter i of russia on 27 may 1703, was it the capital of the russian empire for more than two hundred years (1713 -- 1728, 1732 -- 1918)?",yes
is the standard of living in san franciscio high?,"yes, san francisco is characterized by a high standard of living"
is the standard of living in san franciscio high?,yes
does san francisco have a high percentage of gay and lesbian individuals?,"yes, according to the 2005 american community survey, san francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest us cities, at 154%"
does san francisco have a high percentage of gay and lesbian individuals?,yes
is san franscico a popular tourist destination?,yes san francisco is a popular international tourist destination
is san franscico a popular tourist destination?,yes
how large is the population of san francisco?,"the estimated population of san francisco in the year 2008 was 808,976"
how large is the population of san francisco?,"san francisco has an estimated population of 808,976"
how many state parks are in san francisco?,there is only one park managed by the california state park system: candlestick point
how many state parks are in san francisco?,there is one state park in san francisco
where is san francisco?,san francisco is located on the west coast of the united states at the tip of the san francisco peninsula
where is san francisco?,san francisco is in california
what is the cause of local earthquakes?,it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989
what is the cause of local earthquakes?,the nearby san andreas and hayward faults are responsible for much earthquake activity
are more residents employed by small businesses than in 1977?,"the number of san franciscans employed by firms of more than 1,000 employees has fallen by half since 1977"
are more residents employed by small businesses than in 1977?,no
how does poverty in san francisco compare to the nation-wide average?,"the citys poverty rate is 118% and the number of families in poverty stands at 74%, both lower than the national average"
how does poverty in san francisco compare to the nation-wide average?,san franciscos poverty rate is lower than the national average
was the university of san fransisco founded in 1855,yes
what makes san francisco among the top-ten north american destinations for conventions and conferences,san francisco has a large hotel infrastructure and a world-class convention facility in the moscone center
what makes san francisco among the top-ten north american destinations for conventions and conferences,a large hotel infrastructure and a world-class convention facility in the moscone center
who manages candlestick point,california state park system
who manages candlestick point,the california state park system
is crissy field an airfield,yes
does the de young museum house the asian art museum,yes
does the de young museum house the asian art museum,no
what prompted the city to upgrade its building codes,earthquakes
what prompted the city to upgrade its building codes,the threat of major earthquakes
"like many larger where cities, san francisco is a minority-majority city, as non-hispanic whites comprise less than half of the population?",us
who laid out a street plan for the expanded settlement?,william richardson and alcalde francisco de haro
when was a 43-acre mission bay campus opened?,2003
when did it sign on the air?,in 1941
give an example of the largest two-year community colleges in the country ,the city college of san francisco
give an example of the ten beta world cities ,san trancisco
"the only consolidated city-county in california, does it encompass a land area of on the northern end of the san francisco peninsula, making it the second most densely populated city in the united states?",san francisco
"is san francisco also the financial, cultural, and transportation center of the larger san francisco bay area, a region of 74 million people?",yes
in what year did the spanish establish a fort at the golden gate and a mission named for francis of assisi on the site?,"in 1776, the spanish established a fort at the golden gate and a mission named for francis of assisi on the site"
does swahili have dipthongs?,"yes, swahili has diphthongs (typo)"
is swahili a bantu language?,"yes, swahili is a bantu language"
is swahili a bantu language?,yes
did uganda make swahili a required subject in primary schools?,"yes, uganda made swahili a required subject in primary schools"
did uganda make swahili a required subject in primary schools?,yes
what is the swahili word for the swahili language?,kiswahili is the swahili word for the swahili language
what is the swahili word for the swahili language?,kiswahili
is swahili spoken in mozambique?,"yes, swahili is spoken in parts of northern mozambique"
is swahili spoken in mozambique?,yes
how does swahili time run?,swahili time runs from dawn to dusk
how does swahili time run?,from dawn to dusk
how many noun classes does swahili have?,swahili has sixteen noun classes
how many noun classes does swahili have?,sixteen
in what year did germany seize tanganyika?,germany seized tanganyika in 1886
in what year did germany seize tanganyika?,1886
which is the sub-saharan indigenous language with the greatest number of speakers?,hausa of west africa is the sub-saharan indigenous language with the greatest number of speakers
which is the sub-saharan indigenous language with the greatest number of speakers?,hausa
how many swedish speakers were reported in canada in 2001?,"16,915"
how many swedish speakers were reported in canada in 2001?,"there are 16,915 reported swedish speakers in canada"
when did a standard and common language become available to all swedes?,in the 20th century
when did a standard and common language become available to all swedes?,"it was during the 20th century that a common, standardized national language became available to all swedes"
when did the soviet military forces occupy estonia?,1944
when did the soviet military forces occupy estonia?,in 1944
what are the differences between english and swedish pronouns?,"swedish pronouns are basically the same as those of english but distinguish two genders and have an additional object form, derived from the old dative form, as well as a distinct genitive case"
how does swedish language counterbalance the absence of cases?,the lack of cases in swedish is compensated by a wide variety of prepositions
is taipei in a valley?,taipei is in the valleys of the keelung and xindian rivers
is taipei in a valley?,yes
what is along the citys western border?,the danshui river borders taipei to the west
what is along the citys western border?,taipei has the danshui river along its western border
what are some annual festivals in taipei?,"the lantern festival, tomb-sweeping day, dragon boat festival, and the mid-autumn festival"
what are some annual festivals in taipei?,"some annual festivals include tomb-sweping day, the dragon boat festival, the ghost festival, and the mid-autumn festival"
when is the pacific typhoon season?,between june and october
when is the pacific typhoon season?,its between june and october
who sets up shrines?,many homes and business set up shrines
who sets up shrines?,many homes and businesses would set up shrines
what does taipei produce?,taipei produces high technology and hi-tech components
what does taipei produce?,"taipei produces textiles, apparel, electronics, machinery, printed materials, precision equipment, food, and beverages"
what is the earliest date of the trumpet?,1500 bc
what is the earliest date of the trumpet?,around 1500 bc
what is a trumpet constructed of?,brass tubing
what is a trumpet constructed of?,brass tubing bent twice into an oblong shape
"why do trumpets have a bright, loud sound?",the trumpet and trombone share a roughly cylindrical bore
"why do trumpets have a bright, loud sound?",due to the cylindrical bore
why does the cornet have a slightly mellower tone than the trumpet?,the cornet and flugelhorn have conical bores
why does the cornet have a slightly mellower tone than the trumpet?,because it has conical bores
what makes a trumpet fully chromatic?,able to play all twelve pitches of western music
was dizzy gillespie a famous trumpeter in 1998?,no
what shape is a trumpet bent into?,oblong
what shape is a trumpet bent into?,an oblong shape
the trumpet can be confused with what close relative?,the cornet
the trumpet can be confused with what close relative?,the coronet
what can be augmented with a fourth valve?,the flugelhorn
what can be augmented with a fourth valve?,flugelhorn
what happened in 1894?,"jean-baptiste arban published ""complete conservatory method for trumpet"""
what happened in nineteen fifty seven?,maynard ferguson formed his own band
is the breeze eazy  method sometimes used to teach younger students?,yes
do many players use a smaller mouthpiece on the piccolo trumpet?,yes
is the trumpet constructed of brass tubing bent twice into an oblong shape?,yes
give an example of the most influential musicians of the 20th century ,miles davis
were slide trumpets the first trumpets allowed in the christian church?,slide trumpets were the first trumpets allowed in the christian church 
"are they constructed of brass tubing bent twice into an oblong shape, and are played by blowing air through closed lips, producing a ``buzzing sound which starts a standing wave vibration in the air column inside the trumpet?",yes
are there several types of trumpet?,yes
what is the official language of turkey?,turkish
what is the official language of turkey?,turkish is the official language of turkey
when was the turkish language association founded?,in 1928
when was the turkish language association founded?,the turkish language association was founded in 1932
what are the most significant foreign contributors to turkish vocabulary?,"among the most significant foreign contributors to turkish vocabulary are arabic, french, persian, italian, english, and greek "
who were the orkhon inscriptions built for?,for the prince kul tigin and his brother emperor bilge khan
who were the orkhon inscriptions built for?,the orkhon inscriptions were erected in honour of the prince kul tigin and his brother emperor bilge khan
what was one of the results of the introduction of the new turkish alphabet?,a dramatic increase in literacy from third world levels
what was one of the results of the introduction of the new turkish alphabet?,there was a dramatic increase in literacy from its original third world levels
how many people speak turkish worldwide?,there are roughly another 10 million native speakers worldwide
"in turkish, which syllable usually has the stress?",stress is usually on the last syllable
is the spelling of turkish phonetic?,"yes, turkish now has an alphabet suited to the sounds of the language: the spelling is largely phonetic, with one letter corresponding to each phoneme"
what percentage of the words in turkish vocabulary have turkish origins?,86% of the turkish vocabulary have turkish origins
after what event was the turkish language association established?,"after the foundation of the republic of turkey and the script reform, the turkish language association (tdk) was established in 1932"
what exception to the rules of vowel harmony do compound words have?,"in compound words, the vowels need not harmonize between the constituent words of the compound"
what are the patterns of vowel harmony?,vowels are characterised by two features: front/back and rounded/unrounded
what are the ways to join groups of nouns?,"two nouns, or groups of nouns, may be joined in either of two ways: definite or indefinite"
does vietnamese have a comparatively large number of vowels?,yes
was vietnamese influenced by chinese?,much vocabulary has been borrowed from chinese
was vietnamese influenced by chinese?,yes
when did written vietnamese become the official administrative language?,the 20th century
when did written vietnamese become the official administrative language?,vietnamese became the official administrative language by the 20th century
is the red river delta traditionally poor?,"not compared to nghe an, ha tinh, or quang binh"
is the red river delta traditionally poor?,yes
what kind of words have been borrowed from chinese?,words that denote abstract ideas in the same way european languages borrow form latin and greek
what kind of words have been borrowed from chinese?,vietnamese adopts words from chinese which express abstract ideas
is vietnam independent from france?,yes
